title,brand,price,price_usd,currency,platform,ram_gb,storage_gb,category,search_query,url,scraped_date,price_range,cluster_kmeans,cluster_kmeans_label,cluster_dbscan,pca_x,pca_y,iso_score,lof_score,anomaly_score,is_anomaly,is_anomaly_soft,anomaly_type
Lenovo Gaming Laptop LEGION Y9000P 2025 Supreme Edition AI Yuanqi 16-inch 240Hz Ultra9-275HX 32GB+1TB RTX5080 Gaming Notebook PC,Lenovo,45362.04,4536.2,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005009437218184.html,2026-05-13,haut_de_gamme,2,haut_de_gamme,-1,1.961560828366598,2.7592629310572976,-0.6249744679481827,2.388345596473778,0.8632503108403725,1,1,prix_suspect_haut
"Lenovo Xiaoxin Pro 16 GT 2026 Ai Laptop 16"" 2.8K OLED Ryzen AI 9 H 465 32GB 1TB Thin & Light Notebook",Lenovo,15595.42,1559.54,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012189957334.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,1,0.455753923405431,0.05533850995586492,-0.40265667186403736,1.0667355860777994,0.07857970002680373,0,0,normal
GLF-S2 Dual Screen Laptop Intel i3 1215U 10.9+10.95 Inch Touchscreen mini PC WIFI 6 180° flip Win11 Hide touchpad Office Laptops,HP,3826.94,382.69,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005011607515829.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,-0.7477041459014717,-0.7919209481853416,-0.4008945717060684,1.0423219621639082,0.0676260314620202,0,0,normal
AMD Ryzen R5 R7 Slim Gaming Laptop 15.6 Inch IPS Laptops Portable notbook computer pc Windows11 Fingerprint cheap price deal,Other,6500.33,650.03,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005009402851505.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,-0.6124651056055249,-0.5490769669698607,-0.3919943623099872,1.007490958997795,0.04235309367956717,0,0,normal
Mini Laptop IPS Touch Screen Intel N95 CPU 16GB+1TB Netbook PC,Other,3534.36,353.44,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005009102601643.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,-0.9652131939879464,-0.7445783485668092,-0.43249288001236535,1.038897215680007,0.11418669884003715,0,0,normal
Lenovo LEGION R7000P 2025 R9 8945 HX R9 8940 HX RTX 5070 5060 8G 16inch 2.5K 240Hz Gaming Laptop,Lenovo,18215.98,1821.6,MAD,aliexpress,8.0,,electronics,laptop,https://www.aliexpress.com/item/1005012138634694.html,2026-05-13,haut_de_gamme,0,milieu_de_gamme,-1,-0.627929203443524,0.7369025054534637,-0.555182279744989,1.355806094763344,0.4071293768072837,0,0,normal
DR-AZ Gaming Laptop Intel Core i7-13620H 16'' 64GB 2TB computer 1920*1200 5000 mAh Win 11 1920x1200 Fingerprint backlit Laptop,Other,6349.25,634.92,MAD,aliexpress,64.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005009843539434.html,2026-05-13,bas_de_gamme,0,milieu_de_gamme,-1,2.8736387978865077,-2.307225838668456,-0.6638193086095122,2.1779909089998806,0.850469971420966,1,1,prix_suspect_bas
Honor MagicBook Pro 16 2026 16-inch 3K 165Hz 3rd Gen Intel® Core™ Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,17395.2,1739.52,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005012232796911.html,2026-05-13,haut_de_gamme,1,bas_de_gamme,-1,1.8107551452672168,-0.7124810877518836,-0.5047935657441671,1.743061712518654,0.462560682724892,0,0,normal
2026 New Honor X14 Plus Laptop 14-inch Ultra5 325 16G 1T HD Eye Protection Screen Thin and Light Laptop Starry Gray,Honor,16749.5,1674.95,MAD,aliexpress,16.0,,electronics,laptop,https://www.aliexpress.com/item/1005012241975900.html,2026-05-13,milieu_de_gamme,0,milieu_de_gamme,-1,-0.29669761976324366,0.4558515213436606,-0.4110183795542889,1.0348820528615805,0.08038930127163813,0,0,normal
"Green 2025 New 11"" Touch Screen Intel Celeron N100 4 Core 4 Thread 3.4GHz Laptop PC Cheap Win 11 Laptops Computer For Business",Other,3492.11,349.21,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008863812923.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,-0.7646422237211282,-0.8223360579262994,-0.40926770861527645,1.0468080824644028,0.0817959945843936,0,0,normal
2025 New Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel i7-14650HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,15684.53,1568.45,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011656940093.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,1,0.46026173965400374,0.06343303681730739,-0.4003972354445497,1.0669251952642615,0.07523160498550333,0,0,normal
2026 NEW Xiaomi Book Pro 14 Laptop U5-325/U-338H/U7-358H 32GB 1TB Notebook PC,Xiaomi,18193.36,1819.34,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011906575342.html,2026-05-13,haut_de_gamme,1,bas_de_gamme,1,0.5871761672031754,0.29132880413626755,-0.4174415700481111,1.1051513706066631,0.11395807171077786,0,0,normal
2025 Acer ordinary Go Air Laptop 14 Inch 2.2K 60Hz IPS Screen Netbook i5-13420H 32GB 1TB Notebook With Intel UHD Graphics,Acer,8391.73,839.17,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012240800572.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,-1,0.09134015579595062,-0.5990264570119728,-0.46110279999303344,1.0947628443376123,0.17637243496316898,0,0,normal
Lenovo ThinkBook 14+ 2026 R7 H 255/AI 7 H 450 32G 1TB 14.5'' 3K 120Hz,Lenovo,15685.04,1568.5,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005010256385286.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,1,0.4602875390736735,0.06347936392649084,-0.4003972354445497,1.0669263118102728,0.0752319842306998,0,0,normal
"10.95-inch 2-in-1 Laptop, 12th Gen Intel Core i5-1250P, Touch Screen, Type-C Charging Port, Windows 11 – Slim & Lightweight",Other,5496.09,549.61,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005009511932959.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,-0.6632666922901469,-0.6402995868254877,-0.39256118512025273,1.0203177492723088,0.04756592205993587,0,0,normal
2024 Xiaomi Redmi Book Pro 14 Laptop 14 Inch 2.8K 120Hz Ultra Retina Screen Notebook Ultra 5-125H 16GB 512GB Intel ARC Graphics,Xiaomi,8527.71,852.77,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011681460679.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,0,-1.3445918990862877,0.17465845602072935,-0.41732645580750655,1.017909618741012,0.08415174183385021,0,0,normal
2026 MSI Raider 16 Max HX Gaming Laptop 16 Inch 2.5K 240Hz IPS Screen Netbook Ultra 9-285HX 32GB 1TB RTX5070Ti Notebook Computer,MSI,37022.06,3702.21,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012092805472.html,2026-05-13,haut_de_gamme,2,haut_de_gamme,-1,1.539665447861924,2.0016802564540828,-0.5489735869726372,1.9028243160276361,0.5835520002165485,0,1,normal
2024 HUAWEI MateBook X Pro Laptop Inter Core Ultra9 185H/Ultra7 155H 32/16GB 2/1TB Netbook 14.2inch 3.1k Touchscreen 120Hz OLED,Huawei,22258.02,2225.8,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005006843407588.html,2026-05-13,haut_de_gamme,1,bas_de_gamme,-1,-0.018037582039219586,0.9562315360085994,-0.4745300568854869,1.292052083368461,0.2636631591399504,0,0,normal
2023 HUAWEI MateBook 14 Laptop 14-inch 2K Touchscreen i5-1340P/i7-1360P 16GB/32GB 512GB/1T Computer Netbook Iris Xe Graphics SSD,Huawei,9822.2,982.22,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011906726641.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,0,-1.2791074073837303,0.2922466512498685,-0.4223203382370432,1.017909618741012,0.09169415880514958,0,0,normal
Lenovo Xiaoxin 13 Air 2025 Laptop AMD R7 7735HS Integrated Graphics 16GB 512GB 13.3inch 100% sRGB Screen Thin and Light Laptop,Lenovo,9091.9,909.19,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011616701193.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,0,-1.316051164608875,0.22590804764857356,-0.4146270901667746,1.017909618741012,0.08007480540058937,0,0,normal
2024 Acer ordinary Go Princess Laptop 14 Inch 2.8K 120Hz IPS Screen Netbook i5-13420H 16GB 1TB Notebook With Intel lris Xe,Acer,7421.66,742.17,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011599928079.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,-1,-0.7685659702972638,-0.39146585537317147,-0.4062858735166018,1.0095591569650626,0.06464049306302899,0,0,normal
2025 Acer Predator Helios 9 Neo S Gaming Laptop 16 Inch 2.5K OLED 240Hz Screen Notebook Ultra 9-275HX 32GB 2TB RTX5070 Netbook,Acer,19856.04,1985.6,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005011666988455.html,2026-05-13,haut_de_gamme,1,bas_de_gamme,-1,1.9352418980125619,-0.4889446105696153,-0.5205000281563971,1.7525080533048318,0.4894911817706473,0,0,normal
2025 Xiaomi REDMI Book 14 Laptop 14 Inch FHD 60Hz Screen Notebook i5-13420H 16GB 512GB Netbook Computer With Intel UHD Graphics,Xiaomi,6914.3,691.43,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011682286826.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,0,-1.4262096278890002,0.028100375182217703,-0.43070159648211903,1.017909618741012,0.10435263551549717,0,0,normal
2025 Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel Core Ultra 9-275HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,17757.6,1775.76,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012246261097.html,2026-05-13,haut_de_gamme,1,bas_de_gamme,1,0.5651323336437764,0.2517454686504393,-0.41293081790905584,1.0936822503281147,0.10324974858858255,0,0,normal
12th Generation Mini Laptop Intel N95 Quad-Core 8-inch Touch Screen Type-C Charging Port for Office and Entertainment Portable,Other,4322.25,432.22,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008627449209.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,-0.722647850692398,-0.7469282414213304,-0.39885445899923977,1.0357241759187779,0.06230378615277134,0,0,normal
Xiaomi Laptop REDMI Book Pro 16 2026 Ultra5-338H/UltraX7-358H/32GB+1TB 16inch 3.2K 165Hz Screen,Xiaomi,16094.21,1609.42,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012170698498.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,1,0.4809862617134276,0.1006473311119512,-0.40412224943635616,1.067936052282556,0.08120095718315623,0,0,normal
New AMD Ryzen AI Max+395 One XPlayer Super X 14-Inch 2.8K AMOLED 60/120HZ display Gaming tablet-laptop hybrid Fingerprint unlock,Other,29942.36,2994.24,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005011574754184.html,2026-05-13,haut_de_gamme,2,haut_de_gamme,-1,0.5733991490631889,1.5803377061503125,-0.5043841223313937,1.64238559689773,0.4277467121785228,0,0,normal
"2026 NAIWO 14.1"" Ultra Slim Laptop Intel 4405U IPS Office Computer 16GB DDR3 1TB 2TB SSD Study Laptop M.2 Windows 11 Notebook PC",Other,2602.93,260.29,MAD,aliexpress,16.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005011990071645.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,0.2516240416067059,-1.7604941499468738,-0.6207177892612258,2.2343288959469083,0.8045081166035926,0,1,normal
CRELANDER Mini Laptops 14 Inch 2240*1440 Double Touch Screen Intel Processor Foldable Tablet PC Windows11 Dual Screen Laptop,Other,5142.04,514.2,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005007766607257.html,2026-05-13,bas_de_gamme,1,bas_de_gamme,-1,-0.6811770541216715,-0.672460592720378,-0.39382899686738054,1.0249251889484707,0.05104569740129757,0,0,normal
2026 Xiaomi REDMI Book Pro 16 Laptop 16inch 3.2K 165Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,14039.09,1403.91,MAD,aliexpress,24.0,,electronics,laptop,https://www.aliexpress.com/item/1005012249649136.html,2026-05-13,milieu_de_gamme,0,milieu_de_gamme,-1,-0.02839284414139736,0.06180508443670722,-0.423349610475122,1.0072650239032177,0.0896331656395942,0,0,normal
2024 HUAWEI MateBook GT 14 Laptop Ultra 9-185H/Ultra 7-155/Ultra 5-125 Notebook 14.2-inch 2.8K OLED Touchscreen 140W Hi GT Cube,Huawei,14131.86,1413.19,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005010740081461.html,2026-05-13,milieu_de_gamme,0,milieu_de_gamme,-1,-0.2264081542479876,0.14415190272942716,-0.38719041560233575,0.9459648708242273,0.01419963674448909,0,0,normal
2022 HUAWEI MateBook D 14 Laptop 14 Inch Screen Notebook i5-1240P/i7-1260P 16GB 512GB Netbook With Iris Xe Graphics Card,Huawei,7949.6,794.96,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005009086188054.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,0,-1.3738368059593926,0.12214440682458466,-0.41884755656866174,1.017909618741012,0.08644910793284699,0,0,normal
Honor Laptop MagicBook Art 14 2025 14.6-inch OLED touchscreen 2nd Gen Core Ultra5/Ultra7 32GB 1TB/2TB 120Hz 3.1K Laptop,Honor,19547.05,1954.7,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005010131696284.html,2026-05-13,haut_de_gamme,1,bas_de_gamme,-1,1.9196109907895063,-0.5170124801119462,-0.5120177833949028,1.7498301031781434,0.4757705913938101,0,0,normal
Honor MagicBook Pro 14 2026 14.6-inch 3.1K OLED Touchscreen Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,17047.3,1704.73,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005012240752681.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,-1,1.793155894084651,-0.7440834432125033,-0.5121412251039754,1.742633490436545,0.47351263308380825,0,0,normal
2023 HUAWEI MateBook 13s i5-12500H/i7-12700H 16GB 512GB 13.4-inch 2.5K 90Hz Touchscreens SSD Intel Iris Xe Graphics WiFi6,Huawei,11952.24,1195.22,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011773260307.html,2026-05-13,milieu_de_gamme,1,bas_de_gamme,0,-1.1713548664555535,0.4857340936911968,-0.4489105469781473,1.0325865819622035,0.13683935002379613,0,0,normal
2026 Xiaomi REDMI Book Pro 14 Laptop 14inch 2.8K 120Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,13679.58,1367.96,MAD,aliexpress,24.0,,electronics,laptop,https://www.aliexpress.com/item/1005012252714998.html,2026-05-13,milieu_de_gamme,0,milieu_de_gamme,-1,-0.046579411524680696,0.02914810596114713,-0.42370649937118426,1.005536684823644,0.08958513973219842,0,0,normal
"New HONOR 1kg Laptop MagicBook Art 14 2024 14.6""Inch 3.1K 120Hz OLED Touchscreen Intel Ultra 5 7 Computer PC Notebook Ultrabook",Honor,13751.69,1375.17,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008405353863.html,2026-05-13,milieu_de_gamme,0,milieu_de_gamme,-1,-0.24563985106338307,0.10961822214459313,-0.38446411805208935,0.9354279305002191,0.006503054809071454,0,0,normal
