title,brand,platform,url,price,price_usd,currency,ram_gb,ram_cat,storage_gb,storage_cat,price_range,gamme_finale,cluster_kmeans,cluster_kmeans_label,cluster_dbscan,is_anomaly,is_anomaly_soft,anomaly_type,anomaly_score,iso_score,lof_score,pca_x,pca_y,category,search_query,scraped_date
360° Rotating 14.0'' IPS Touch Screen 32G 128G-1T N95 Windows 11 Notebook 4 In 1 Business Office Slim LAPTOP Touch ID,Other,aliexpress,https://www.aliexpress.com/item/1005006813279365.html,4515.91,451.59,MAD,32.0,>=32Go,128.0,<=256Go,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,1,normal,0.6252022942838618,-0.6514185767343853,1.5699154480507136,-1.210687456770088,-0.136202460625422,electronics,laptop,2026-05-13
Lenovo Gaming Laptop LEGION Y9000P 2025 Supreme Edition AI Yuanqi 16-inch 240Hz Ultra9-275HX 32GB+1TB RTX5080 Gaming Notebook PC,Lenovo,aliexpress,https://www.aliexpress.com/item/1005009437218184.html,45362.04,4536.2,MAD,32.0,>=32Go,1024.0,1To,haut_de_gamme,haut_de_gamme,2,haut_de_gamme,-1,1,1,prix_suspect_haut,0.8632503108403725,-0.6249744679481827,2.388345596473778,1.961560828366598,2.7592629310572976,electronics,laptop,2026-05-13
"Lenovo Xiaoxin Pro 16 GT 2026 Ai Laptop 16"" 2.8K OLED Ryzen AI 9 H 465 32GB 1TB Thin & Light Notebook",Lenovo,aliexpress,https://www.aliexpress.com/item/1005012189957334.html,15595.42,1559.54,MAD,32.0,>=32Go,1024.0,1To,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,1,0,0,normal,0.0785797000268037,-0.4026566718640373,1.0667355860777994,0.455753923405431,0.0553385099558649,electronics,laptop,2026-05-13
GLF-S2 Dual Screen Laptop Intel i3 1215U 10.9+10.95 Inch Touchscreen mini PC WIFI 6 180° flip Win11 Hide touchpad Office Laptops,HP,aliexpress,https://www.aliexpress.com/item/1005011607515829.html,3826.94,382.69,MAD,,inconnu,,inconnu,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.0676260314620202,-0.4008945717060684,1.0423219621639082,-0.7477041459014717,-0.7919209481853416,electronics,laptop,2026-05-13
AMD Ryzen R5 R7 Slim Gaming Laptop 15.6 Inch IPS Laptops Portable notbook computer pc Windows11 Fingerprint cheap price deal,Other,aliexpress,https://www.aliexpress.com/item/1005009402851505.html,6500.33,650.03,MAD,,inconnu,,inconnu,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.0423530936795671,-0.3919943623099872,1.007490958997795,-0.6124651056055249,-0.5490769669698607,electronics,laptop,2026-05-13
Mini Laptop IPS Touch Screen Intel N95 CPU 16GB+1TB Netbook PC,Other,aliexpress,https://www.aliexpress.com/item/1005009102601643.html,3534.36,353.44,MAD,16.0,16Go,1024.0,1To,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.1141866988400371,-0.4324928800123653,1.038897215680007,-0.9652131939879464,-0.7445783485668092,electronics,laptop,2026-05-13
Lenovo LEGION R7000P 2025 R9 8945 HX R9 8940 HX RTX 5070 5060 8G 16inch 2.5K 240Hz Gaming Laptop,Lenovo,aliexpress,https://www.aliexpress.com/item/1005012138634694.html,18215.98,1821.6,MAD,8.0,8Go,,inconnu,haut_de_gamme,milieu_de_gamme,0,milieu_de_gamme,-1,0,0,normal,0.4071293768072837,-0.555182279744989,1.355806094763344,-0.627929203443524,0.7369025054534637,electronics,laptop,2026-05-13
DR-AZ Gaming Laptop Intel Core i7-13620H 16'' 64GB 2TB computer 1920*1200 5000 mAh Win 11 1920x1200 Fingerprint backlit Laptop,Other,aliexpress,https://www.aliexpress.com/item/1005009843539434.html,6349.25,634.92,MAD,64.0,>=32Go,2048.0,>1To,bas_de_gamme,milieu_de_gamme,0,milieu_de_gamme,-1,1,1,prix_suspect_bas,0.850469971420966,-0.6638193086095122,2.177990908999881,2.873638797886508,-2.307225838668456,electronics,laptop,2026-05-13
Honor MagicBook Pro 16 2026 16-inch 3K 165Hz 3rd Gen Intel® Core™ Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,aliexpress,https://www.aliexpress.com/item/1005012232796911.html,17395.2,1739.52,MAD,32.0,>=32Go,2048.0,>1To,haut_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.462560682724892,-0.5047935657441671,1.743061712518654,1.8107551452672168,-0.7124810877518836,electronics,laptop,2026-05-13
2026 New Honor X14 Plus Laptop 14-inch Ultra5 325 16G 1T HD Eye Protection Screen Thin and Light Laptop Starry Gray,Honor,aliexpress,https://www.aliexpress.com/item/1005012241975900.html,16749.5,1674.95,MAD,16.0,16Go,,inconnu,milieu_de_gamme,milieu_de_gamme,0,milieu_de_gamme,-1,0,0,normal,0.0803893012716381,-0.4110183795542889,1.0348820528615803,-0.2966976197632436,0.4558515213436606,electronics,laptop,2026-05-13
"Green 2025 New 11"" Touch Screen Intel Celeron N100 4 Core 4 Thread 3.4GHz Laptop PC Cheap Win 11 Laptops Computer For Business",Other,aliexpress,https://www.aliexpress.com/item/1005008863812923.html,3492.11,349.21,MAD,,inconnu,,inconnu,bas_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.0817959945843936,-0.4092677086152764,1.0468080824644028,-0.7646422237211282,-0.8223360579262994,electronics,laptop,2026-05-13
2025 New Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel i7-14650HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,aliexpress,https://www.aliexpress.com/item/1005011656940093.html,15684.53,1568.45,MAD,32.0,>=32Go,1024.0,1To,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,1,0,0,normal,0.0752316049855033,-0.4003972354445497,1.0669251952642615,0.4602617396540037,0.0634330368173073,electronics,laptop,2026-05-13
2026 NEW Xiaomi Book Pro 14 Laptop U5-325/U-338H/U7-358H 32GB 1TB Notebook PC,Xiaomi,aliexpress,https://www.aliexpress.com/item/1005011906575342.html,18193.36,1819.34,MAD,32.0,>=32Go,1024.0,1To,haut_de_gamme,bas_de_gamme,1,bas_de_gamme,1,0,0,normal,0.1139580717107778,-0.4174415700481111,1.1051513706066631,0.5871761672031754,0.2913288041362675,electronics,laptop,2026-05-13
2025 Acer ordinary Go Air Laptop 14 Inch 2.2K 60Hz IPS Screen Netbook i5-13420H 32GB 1TB Notebook With Intel UHD Graphics,Acer,aliexpress,https://www.aliexpress.com/item/1005012240800572.html,8391.73,839.17,MAD,32.0,>=32Go,1024.0,1To,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,-1,0,0,normal,0.1763724349631689,-0.4611027999930334,1.0947628443376125,0.0913401557959506,-0.5990264570119728,electronics,laptop,2026-05-13
Lenovo ThinkBook 14+ 2026 R7 H 255/AI 7 H 450 32G 1TB 14.5'' 3K 120Hz,Lenovo,aliexpress,https://www.aliexpress.com/item/1005010256385286.html,15685.04,1568.5,MAD,32.0,>=32Go,1024.0,1To,milieu_de_gamme,bas_de_gamme,1,bas_de_gamme,1,0,0,normal,0.0752319842306998,-0.4003972354445497,1.0669263118102728,0.4602875390736735,0.0634793639264908,electronics,laptop,2026-05-13
