title,brand,price,price_usd,currency,platform,ram_gb,storage_gb,category,search_query,url,scraped_date,price_range
Honor MagicBook Pro 16 2026 16-inch 3K 165Hz 3rd Gen Intel® Core™ Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,17395.2,1739.52,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005012232796911.html,2026-05-13,haut_de_gamme
2026 New Honor X14 Plus Laptop 14-inch Ultra5 325 16G 1T HD Eye Protection Screen Thin and Light Laptop Starry Gray,Honor,16749.5,1674.95,MAD,aliexpress,16.0,,electronics,laptop,https://www.aliexpress.com/item/1005012241975900.html,2026-05-13,milieu_de_gamme
"Green 2025 New 11"" Touch Screen Intel Celeron N100 4 Core 4 Thread 3.4GHz Laptop PC Cheap Win 11 Laptops Computer For Business",Other,3492.11,349.21,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008863812923.html,2026-05-13,bas_de_gamme
2025 New Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel i7-14650HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,15684.53,1568.45,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011656940093.html,2026-05-13,milieu_de_gamme
2026 NEW Xiaomi Book Pro 14 Laptop U5-325/U-338H/U7-358H 32GB 1TB Notebook PC,Xiaomi,18193.36,1819.34,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011906575342.html,2026-05-13,haut_de_gamme
2025 Acer ordinary Go Air Laptop 14 Inch 2.2K 60Hz IPS Screen Netbook i5-13420H 32GB 1TB Notebook With Intel UHD Graphics,Acer,8391.73,839.17,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012240800572.html,2026-05-13,milieu_de_gamme
Lenovo ThinkBook 14+ 2026 R7 H 255/AI 7 H 450 32G 1TB 14.5'' 3K 120Hz,Lenovo,15685.04,1568.5,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005010256385286.html,2026-05-13,milieu_de_gamme
"10.95-inch 2-in-1 Laptop, 12th Gen Intel Core i5-1250P, Touch Screen, Type-C Charging Port, Windows 11 – Slim & Lightweight",Other,5496.09,549.61,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005009511932959.html,2026-05-13,bas_de_gamme
2024 Xiaomi Redmi Book Pro 14 Laptop 14 Inch 2.8K 120Hz Ultra Retina Screen Notebook Ultra 5-125H 16GB 512GB Intel ARC Graphics,Xiaomi,8527.71,852.77,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011681460679.html,2026-05-13,milieu_de_gamme
2026 MSI Raider 16 Max HX Gaming Laptop 16 Inch 2.5K 240Hz IPS Screen Netbook Ultra 9-285HX 32GB 1TB RTX5070Ti Notebook Computer,MSI,37022.06,3702.21,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012092805472.html,2026-05-13,haut_de_gamme
2024 HUAWEI MateBook X Pro Laptop Inter Core Ultra9 185H/Ultra7 155H 32/16GB 2/1TB Netbook 14.2inch 3.1k Touchscreen 120Hz OLED,Huawei,22258.02,2225.8,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005006843407588.html,2026-05-13,haut_de_gamme
2023 HUAWEI MateBook 14 Laptop 14-inch 2K Touchscreen i5-1340P/i7-1360P 16GB/32GB 512GB/1T Computer Netbook Iris Xe Graphics SSD,Huawei,9822.2,982.22,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011906726641.html,2026-05-13,milieu_de_gamme
Lenovo Xiaoxin 13 Air 2025 Laptop AMD R7 7735HS Integrated Graphics 16GB 512GB 13.3inch 100% sRGB Screen Thin and Light Laptop,Lenovo,9091.9,909.19,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011616701193.html,2026-05-13,milieu_de_gamme
2024 Acer ordinary Go Princess Laptop 14 Inch 2.8K 120Hz IPS Screen Netbook i5-13420H 16GB 1TB Notebook With Intel lris Xe,Acer,7421.66,742.17,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011599928079.html,2026-05-13,milieu_de_gamme
2025 Acer Predator Helios 9 Neo S Gaming Laptop 16 Inch 2.5K OLED 240Hz Screen Notebook Ultra 9-275HX 32GB 2TB RTX5070 Netbook,Acer,19856.04,1985.6,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005011666988455.html,2026-05-13,haut_de_gamme
2025 Xiaomi REDMI Book 14 Laptop 14 Inch FHD 60Hz Screen Notebook i5-13420H 16GB 512GB Netbook Computer With Intel UHD Graphics,Xiaomi,6914.3,691.43,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011682286826.html,2026-05-13,milieu_de_gamme
