groupe,count,min,max,mean,median,std,q1,q3,iqr,skewness
aliexpress,48,2602.93,45362.04,14073.14,13342.42,9642.07,7168.92,17485.8,10316.88,1.4612
jumia,2,4099.0,5799.0,4949.0,4949.0,1202.08,4524.0,5374.0,850.0,
